iter	Accuracy	Logloss
0	0.762452548	0.6886204513
1	0.7780973197	0.6838546704
2	0.7797078109	0.6794006001
3	0.7824686529	0.6752475926
4	0.7886805476	0.6703546595
5	0.7876452318	0.6658119741
6	0.787875302	0.6611399301
7	0.7904060739	0.6568808376
8	0.7898308984	0.652387777
9	0.7882204072	0.6485239928
10	0.7871850915	0.645154228
11	0.7870700564	0.6416357846
12	0.7863798459	0.6374276869
13	0.7800529161	0.6337586309
14	0.7879903371	0.6294185997
15	0.7791326355	0.6263380822
16	0.7835039687	0.6231829646
17	0.7835039687	0.6193945577
18	0.7846543196	0.6158387951
19	0.7841941792	0.6126691032
20	0.7871850915	0.6093617994
21	0.7896008283	0.6065168181
22	0.7896008283	0.6039944273
23	0.7901760037	0.6012104688
24	0.7900609686	0.5987309453
25	0.7908662142	0.5957077101
26	0.7899459335	0.5930867948
27	0.7896008283	0.5900287092
28	0.7894857932	0.5873907705
29	0.7891406879	0.5852835405
30	0.7899459335	0.5824142073
31	0.7899459335	0.5796421742
32	0.7908662142	0.5776088808
33	0.7900609686	0.5752499388
34	0.7907511791	0.5731301512
35	0.7921316001	0.5708370247
36	0.7908662142	0.5686850437
37	0.7912113195	0.5667896217
38	0.7914413896	0.5647622486
39	0.7907511791	0.5625283497
40	0.7921316001	0.5603143171
41	0.7931669159	0.5579581455
42	0.7933969861	0.5561844277
43	0.793281951	0.5547805206
44	0.7928218107	0.5530128617
45	0.7922466352	0.5510322994
46	0.7921316001	0.5488852606
47	0.7925917405	0.5471947651
48	0.7925917405	0.5452943826
49	0.7925917405	0.5435908995
50	0.7930518808	0.5416630372
51	0.7931669159	0.5402453747
52	0.7928218107	0.5384869492
53	0.7930518808	0.5370448206
54	0.7933969861	0.5354539538
55	0.7933969861	0.5342479659
56	0.7939721615	0.5330004382
57	0.794662372	0.5317250071
58	0.7940871966	0.5304050634
59	0.7939721615	0.5290652471
60	0.7950074773	0.527909643
61	0.7944323019	0.5266591376
62	0.7945473369	0.5253940409
63	0.7952375475	0.5242421555
64	0.7950074773	0.5231025608
65	0.7954676176	0.5214410089
66	0.7955826527	0.5203494381
67	0.7953525825	0.5188557335
68	0.7954676176	0.5175189228
69	0.7956976878	0.5162798841
70	0.7952375475	0.5150994952
71	0.7954676176	0.5137363316
72	0.7962728632	0.5125420179
73	0.7961578281	0.5114029177
74	0.7958127229	0.5103331356
75	0.7956976878	0.5093228275
76	0.7960427931	0.5081591021
77	0.7960427931	0.5069261714
78	0.7958127229	0.5060246293
79	0.7961578281	0.5046566532
80	0.7962728632	0.5034918757
81	0.7960427931	0.5025841923
82	0.7962728632	0.5015634885
83	0.7961578281	0.5004300212
84	0.7961578281	0.4995099927
85	0.7963878983	0.4987130013
86	0.7970781088	0.4976389872
87	0.7974232141	0.4965031547
88	0.7977683193	0.49570998
89	0.7977683193	0.494575655
90	0.7982284597	0.4935406963
91	0.7978833544	0.4925779942
92	0.7981134246	0.4914801528
93	0.7975382492	0.4907747129
94	0.7974232141	0.4899232014
95	0.7977683193	0.4892754509
96	0.7977683193	0.4885624944
97	0.7974232141	0.48762953
98	0.7976532843	0.4866381332
99	0.7978833544	0.4859678589
100	0.7976532843	0.4854045839
101	0.7978833544	0.4844589362
102	0.7977683193	0.4838412642
103	0.7977683193	0.483223586
104	0.7982284597	0.4825259687
105	0.7986886	0.4817363399
106	0.7986886	0.4810739969
107	0.7994938456	0.4803794616
108	0.7992637755	0.4795358662
109	0.7988036351	0.4789150636
110	0.7993788105	0.4783430735
111	0.7993788105	0.4774081079
112	0.7993788105	0.4767002994
113	0.7996088807	0.4758761109
114	0.7992637755	0.4752399117
115	0.7992637755	0.4746520504
116	0.7991487404	0.4740708514
117	0.7988036351	0.4735645733
118	0.7989186702	0.4729288461
119	0.7988036351	0.4721497552
120	0.7991487404	0.4715549313
121	0.7996088807	0.4709311605
122	0.8004141263	0.4699898098
123	0.8002990912	0.4692567763
124	0.799953986	0.4686015675
125	0.7994938456	0.4678806064
126	0.799953986	0.467371123
127	0.8001840561	0.4668800158
128	0.7998389509	0.4661454791
129	0.8001840561	0.4655368081
130	0.799953986	0.4651562473
131	0.8000690211	0.4646236184
132	0.8005291614	0.4639710966
133	0.8002990912	0.4633799129
134	0.8008742667	0.4628724584
135	0.8005291614	0.4622932376
136	0.8008742667	0.4618583301
137	0.8006441965	0.4613670868
138	0.8008742667	0.4605485534
139	0.8011043368	0.4599392519
140	0.8012193719	0.4593463466
141	0.8011043368	0.4588182595
142	0.8011043368	0.4581741776
143	0.8008742667	0.4578274878
144	0.8011043368	0.4572797949
145	0.8011043368	0.4569857497
146	0.8019095824	0.4562946807
147	0.801334407	0.4558043022
148	0.8020246175	0.4554000815
149	0.8014494421	0.4550047496
