iter	Passed	Remaining
0	5	16955
1	8	12006
2	10	10001
3	11	8888
4	15	9578
5	17	8942
6	19	8390
7	21	7979
8	23	7674
9	24	7448
10	26	7246
11	28	7133
12	30	7005
13	32	6939
14	34	6876
15	40	7490
16	42	7481
17	47	7791
18	49	7760
19	52	7818
20	54	7770
21	56	7715
22	58	7612
23	61	7591
24	63	7512
25	65	7472
26	67	7400
27	69	7326
28	71	7304
29	73	7251
30	75	7183
31	76	7127
32	78	7062
33	80	7011
34	82	6962
35	84	6948
36	86	6898
37	87	6857
38	89	6815
39	91	6774
40	93	6765
41	98	6909
42	99	6875
43	102	6864
44	104	6871
45	108	6946
46	112	7041
47	116	7140
48	121	7295
49	125	7425
50	127	7399
51	139	7885
52	140	7836
53	142	7799
54	144	7757
55	147	7733
56	149	7730
57	151	7696
58	154	7696
59	157	7713
60	159	7675
61	161	7642
62	163	7630
63	165	7596
64	167	7577
65	169	7545
66	171	7507
67	173	7469
68	174	7431
69	177	7415
70	178	7383
71	181	7366
72	182	7335
73	184	7307
74	186	7286
75	189	7271
76	191	7268
77	193	7255
78	195	7241
79	197	7224
80	200	7230
81	202	7216
82	204	7191
83	206	7175
84	211	7238
85	213	7235
86	217	7270
87	219	7250
88	221	7239
89	223	7228
90	225	7211
91	227	7201
92	230	7191
93	232	7180
94	235	7197
95	237	7182
96	239	7168
97	241	7155
98	243	7135
99	246	7135
100	249	7150
101	251	7136
102	253	7127
103	255	7122
104	257	7112
105	260	7109
106	262	7097
107	264	7080
108	266	7067
109	268	7052
110	270	7039
111	272	7019
112	274	7003
113	276	6992
114	277	6970
115	279	6958
116	281	6939
117	283	6922
118	285	6905
119	287	6890
120	288	6875
121	290	6862
122	292	6847
123	294	6831
124	296	6815
125	298	6800
126	300	6787
127	301	6773
128	303	6757
129	305	6742
130	307	6726
131	308	6711
132	310	6696
133	312	6680
134	314	6665
135	315	6651
136	317	6637
137	319	6623
138	321	6610
139	322	6596
140	324	6582
141	326	6569
142	328	6556
143	329	6543
144	331	6528
145	333	6515
146	335	6503
147	336	6490
148	338	6476
149	340	6465
150	342	6456
151	343	6445
152	345	6432
153	347	6422
154	349	6410
155	350	6397
156	352	6384
157	354	6371
158	355	6359
159	357	6347
160	359	6335
161	361	6326
162	362	6314
163	364	6302
164	366	6290
165	367	6280
166	369	6268
167	371	6258
168	372	6247
169	374	6238
170	376	6228
171	378	6218
172	379	6207
173	381	6200
174	384	6200
175	386	6196
176	388	6194
177	390	6189
178	392	6190
179	395	6189
180	397	6187
181	399	6182
182	401	6178
183	403	6172
184	405	6165
185	406	6156
186	408	6148
187	410	6145
188	413	6144
189	415	6141
190	417	6134
191	419	6129
192	421	6124
193	422	6117
194	424	6110
195	426	6101
196	428	6093
197	429	6084
198	431	6076
199	433	6069
200	435	6063
201	438	6068
202	440	6064
203	442	6059
204	443	6053
205	445	6047
206	448	6045
207	449	6038
208	451	6031
209	453	6024
210	455	6016
211	456	6008
212	458	6000
213	460	5992
214	462	5985
215	463	5977
216	465	5970
217	467	5963
218	469	5956
219	470	5949
220	472	5942
221	474	5935
222	476	5930
223	478	5923
224	479	5917
225	481	5912
226	483	5908
227	485	5902
228	487	5896
229	489	5890
230	491	5886
231	493	5882
232	495	5879
233	497	5875
234	498	5870
235	500	5865
236	502	5863
237	504	5859
238	506	5853
239	509	5855
240	511	5851
241	512	5844
242	514	5837
243	516	5832
244	518	5826
245	519	5819
246	521	5814
247	524	5818
248	526	5812
249	527	5806
250	530	5804
251	532	5802
252	533	5796
253	535	5794
254	538	5791
255	539	5785
256	541	5781
257	543	5777
258	545	5774
259	547	5770
260	549	5767
261	552	5771
262	555	5777
263	557	5776
264	559	5771
265	561	5766
266	563	5763
267	564	5759
268	566	5753
269	568	5749
270	570	5744
271	572	5740
272	574	5738
